municipality,municipality_geojson,district,section1,section2,section3,section4,section5,section6,excluded,total
Blankenberge,Blankenberge,Blankenberge,,,,,,,128,128
Blankenberge,Blankenberge,Uitkerke,,,,,,,64,64
Bredene,Bredene,Bredene,,,,,,,156,156
Brugge,Brugge,Assebroek,,,,,,,106,106
Brugge,Brugge,Brugge,,,,,,,469,469
Brugge,Brugge,Dudzele,,,,,,,41,41
Brugge,Brugge,Koolkerke,,,,,,,17,17
Brugge,Brugge,Lissewege (& Zeebrugge),,,,,,,166,166
Brugge,Brugge,Sint-Andries,,,,,10,,162,172
Brugge,Brugge,Sint-Kruis,,,,,,,98,98
Brugge,Brugge,Sint-Michiels,,,,,1,,131,132
Damme,Damme,Afdeling 2-Sint-Kruis,,,,,,,8,8
Damme,Damme,Damme,,,,,,,19,19
Damme,Damme,Lapscheure,,,,,,,14,14
Damme,Damme,Moerkerke,,,,,,,45,45
Damme,Damme,Oostkerke en Hoeke,,,,,,,14,14
Damme,Damme,Sijsele,,,,,,,51,51
De Haan,De Haan,Klemskerke,,,,,,,107,107
De Haan,De Haan,Vlissegem,,,,,,,48,48
De Haan,De Haan,Wenduine,,,,,,,64,64
De Panne,De Panne,Adinkerke,,,,,,,45,45
De Panne,De Panne,De Panne,,,,,,,155,155
Deerlijk,Deerlijk,Deerlijk,,,,128,,,48,176
Dentergem,Dentergem,Dentergem,,,,,,,43,43
Dentergem,Dentergem,Markegem,,,,,,,20,20
Dentergem,Dentergem,Oeselgem,,,,,,,27,27
Dentergem,Dentergem,Wakken,,,,,,,40,40
Diksmuide,Diksmuide,Beerst,,,,,,,19,19
Diksmuide,Diksmuide,Diksmuide,,,,,,,131,131
Diksmuide,Diksmuide,Keiem,,,,,,,15,15
Diksmuide,Diksmuide,Lampernisse,,,,,,,4,4
Diksmuide,Diksmuide,Leke,,,,,,,16,16
Diksmuide,Diksmuide,Nieuwkapelle,,,,,,,9,9
Diksmuide,Diksmuide,Oostkerke,,,,,,,6,6
Diksmuide,Diksmuide,Oudekapelle,,,,,,,8,8
Diksmuide,Diksmuide,Pervijze,,,,,,,18,18
Diksmuide,Diksmuide,Sint-Jacobs-Kapelle,,,,,,,9,9
Diksmuide,Diksmuide,Stuivekenskerke,,,,,,,8,8
Diksmuide,Diksmuide,Vladslo,,,,,,,29,29
Diksmuide,Diksmuide,Woumen,,,,,,,24,24
Gistel,Gistel,Gistel,,,,,72,,,72
Gistel,Gistel,Moere,,,,,8,,,8
Gistel,Gistel,Snaaskerke,,,,,20,,,20
Gistel,Gistel,Zevekote,,,,,14,,,14
Harelbeke,Harelbeke,Bavikhove,,,,,,,45,45
Harelbeke,Harelbeke,Harelbeke,,,,1,,,203,204
Harelbeke,Harelbeke,Hulste,,,,,,,46,46
Heuvelland,Heuvelland,Dranouter,,,,,,,12,12
Heuvelland,Heuvelland,Kemmel,,,,,,,23,23
Heuvelland,Heuvelland,Klijte-Dorp,,,,,,,7,7
Heuvelland,Heuvelland,Loker,,,,,,,8,8
Heuvelland,Heuvelland,Nieuwkerke,,,,,,,23,23
Heuvelland,Heuvelland,Westouter,,,,,,,23,23
Heuvelland,Heuvelland,Wijtschate,,,,,,,44,44
Heuvelland,Heuvelland,Wulvergem,,,,,,,4,4
Hooglede,Hooglede,Gits,,,,,61,,1,62
Hooglede,Hooglede,Hooglede,,,,,7,,71,78
Houthulst,Houthulst,Houthulst,,,,,,,49,49
Houthulst,Houthulst,Klerken,,,,,,,26,26
Houthulst,Houthulst,Merkem,,,,,,,38,38
Houthulst,Houthulst,Ronehoek-Nieuwe Stede,,,,,,,22,22
Ichtegem,Ichtegem,Bekegem,,,,,12,,,12
Ichtegem,Ichtegem,Eernegem,,,,,78,,,78
Ichtegem,Ichtegem,Ichtegem,,,,,80,,,80
Ieper,Ieper,Boezinge,,,,,,,50,50
Ieper,Ieper,Brielen,,,,,,,11,11
Ieper,Ieper,Dikkebus,,,,,,,12,12
Ieper,Ieper,Elverdinge,,,,,,,29,29
Ieper,Ieper,Hollebeke,,,,,,,9,9
Ieper,Ieper,Ieper,,,,,,,290,290
Ieper,Ieper,Sint-Jan,,,,,,,13,13
Ieper,Ieper,Vlamertinge,,,,,,,53,53
Ieper,Ieper,Voormezele,,,,,,,15,15
Ieper,Ieper,Zillebeke,,,,,,,27,27
Ieper,Ieper,Zuidschote,,,,,,,11,11
Ingelmunster,Ingelmunster,Ingelmunster,,,,,,,154,154
Izegem,Izegem,Izegem,,,,,,,318,318
Izegem,Izegem,Kachtem,,,,,,,58,58
Jabbeke,Jabbeke,Jabbeke,,,,,69,,,69
Jabbeke,Jabbeke,Snellegem,,,,,17,,,17
Jabbeke,Jabbeke,Stalhille,,,,,18,,,18
Jabbeke,Jabbeke,Varsenare,,,,,42,,,42
Jabbeke,Jabbeke,Zerkegem,,,,,13,,,13
Knokke-Heist,Knokke-Heist,Heist,,,,,,,133,133
Knokke-Heist,Knokke-Heist,Knokke,,,,,,,245,245
Knokke-Heist,Knokke-Heist,Ramskapelle,,,,,,,9,9
Knokke-Heist,Knokke-Heist,Westkapelle,,,,,,,71,71
Koekelare,Koekelare,Bovekerke,,,,,,,14,14
Koekelare,Koekelare,Koekelare,,,,,67,,4,71
Koekelare,Koekelare,Zande,,,,,1,,4,5
Koksijde,Koksijde,Koksijde,,,,,,,196,196
Koksijde,Koksijde,Oostduinkerke,,,,,1,,158,159
Koksijde,Koksijde,Wulpen,,,,,,,21,21
Kortemark,Kortemark,Handzame,,,,,,,44,44
Kortemark,Kortemark,Kortemark,,,,,2,,94,96
Kortemark,Kortemark,Werken,,,,,,,25,25
Kortemark,Kortemark,Zarren,,,,,,,22,22
Kortrijk,Kortrijk,Aalbeke,,,,,,,31,31
Kortrijk,Kortrijk,Bellegem,,,,,,,51,51
Kortrijk,Kortrijk,Bissegem,,,,,,,48,48
Kortrijk,Kortrijk,Heule,,,,14,,,121,135
Kortrijk,Kortrijk,Kooigem,,,,,,,14,14
Kortrijk,Kortrijk,Kortrijk,,,,11,,,508,519
Kortrijk,Kortrijk,Marke,,,,,,,59,59
Kortrijk,Kortrijk,Rollegem,,,,,,,36,36
Kuurne,Kuurne,Kuurne,,,,141,,,40,181
Langemark-Poelkapelle,Langemark-Poelkapelle,Bikschote,,,,,,,11,11
Langemark-Poelkapelle,Langemark-Poelkapelle,Langemark,,,,,,,77,77
Langemark-Poelkapelle,Langemark-Poelkapelle,Poelkapelle,,,,,,,43,43
Ledegem,Ledegem,Ledegem,,,,,,,59,59
Ledegem,Ledegem,Rollegem-Kapelle,,,,,,,15,15
Ledegem,Ledegem,Sint-Eloois-Winkel,,,,,,,53,53
Lendelede,Lendelede,Lendelede,,,,,,,61,61
Lichtervelde,Lichtervelde,Lichtervelde,,,,,101,,2,103
Lo-Reninge,Lo-Reninge,Lo,,,,,,,25,25
Lo-Reninge,Lo-Reninge,Noordschote,,,,,,,10,10
Lo-Reninge,Lo-Reninge,Pollinkhove,,,,,,,23,23
Lo-Reninge,Lo-Reninge,Reninge,,,,,,,36,36
Menen,Menen,Lauwe,,,,,,,74,74
Menen,Menen,Menen,,,,,,,203,203
Menen,Menen,Rekkem,,,,,,,55,55
Mesen,Mesen,Mesen,,,,,,,8,8
Meulebeke,Meulebeke,Meulebeke,,,,96,,,66,162
Middelkerke,Middelkerke,Leffinge,,,,,29,,,29
Middelkerke,Middelkerke,Lombardsijde,,,,,13,,,13
Middelkerke,Middelkerke,Mannekensvere,,,,,6,,,6
Middelkerke,Middelkerke,Middelkerke,,,,,182,,,182
Middelkerke,Middelkerke,Schore,,,,,6,,,6
Middelkerke,Middelkerke,Sint-Pieters-Kapelle,,,,,3,,,3
Middelkerke,Middelkerke,Slijpe,,,,,26,,,26
Middelkerke,Middelkerke,Westende,,,,,85,,,85
Middelkerke,Middelkerke,Wilskerke,,,,,13,,,13
Moorslede,Moorslede,Dadizele,,,,,,,43,43
Moorslede,Moorslede,Moorslede,,,,,,,110,110
Nieuwpoort,Nieuwpoort,Nieuwpoort,,,,,117,,86,203
Nieuwpoort,Nieuwpoort,Ramskapelle,,,,,,,15,15
Nieuwpoort,Nieuwpoort,Sint-Joris,,,,,22,,2,24
Oostende,Oostende,Nieuwe Koerswijk,,,,,8,,85,93
Oostende,Oostende,Oostende,,,,,,,299,299
Oostende,Oostende,Oostende-Stene,,,,,43,,13,56
Oostende,Oostende,Stene-Dorp,,,,,26,,18,44
Oostende,Oostende,Voorhaven,,,,,1,,88,89
Oostende,Oostende,Zandvoorde,,,,,41,,31,72
Oostkamp,Oostkamp,Hertsberge,,,,,20,,,20
Oostkamp,Oostkamp,Oostkamp,,,,,63,,74,137
Oostkamp,Oostkamp,Ruddervoorde,,,,,82,,,82
Oostkamp,Oostkamp,Waardamme,,,,,17,,,17
Oostrozebeke,Oostrozebeke,Oostrozebeke,,,,4,,,103,107
Oudenburg,Oudenburg,Ettelgem,,,,,16,,,16
Oudenburg,Oudenburg,Oudenburg,,,,,57,,,57
Oudenburg,Oudenburg,Roksem,,,,,15,,,15
Oudenburg,Oudenburg,Westkerke,,,,,17,,,17
Pittem,Pittem,Egem,,,,,,,37,37
Pittem,Pittem,Pittem,,,,,,,105,105
Poperinge,Poperinge,Krombeke,,,,,,,17,17
Poperinge,Poperinge,Poperinge,,,,,,,194,194
Poperinge,Poperinge,Proven,,,,,,,27,27
Poperinge,Poperinge,Reningelst,,,,,,,27,27
Poperinge,Poperinge,Roesbrugge-Haringe,,,,,,,21,21
Poperinge,Poperinge,Watou,,,,,,,48,48
Roeselare,Roeselare,Oekene,,,,,,,20,20
Roeselare,Roeselare,Roeselare,,,,,,,569,569
Roeselare,Roeselare,Rumbeke,,,,,,,174,174
Ruiselede,Ruiselede,Ruiselede,,,,,,,65,65
Spiere-Helkijn,Spiere-Helkijn,Helkijn,,,,,,,12,12
Spiere-Helkijn,Spiere-Helkijn,Spiere,,,,,,,33,33
Staden,Staden,Oostnieuwkerke,,,,,,,49,49
Staden,Staden,Staden,,,,,,,87,87
Staden,Staden,Westrozebeke,,,,,,,40,40
Tielt,Tielt,Aarsele,,,,47,,,2,49
