municipality,municipality_geojson,district,section1,section2,section3,section4,section5,section6,excluded,total
Oud-Turnhout,Oud-Turnhout,Oud-Turnhout,40,,,,,,71,111
Putte,Putte,Beerzel,,5,,,,,42,47
Putte,Putte,Putte,,100,,,,,7,107
Puurs,Puurs,Breendonk,,,1,,25,6,,32
Puurs,Puurs,Liezele,,,3,,,8,,11
Puurs,Puurs,Puurs,,,5,,,71,,76
Puurs,Puurs,Ruisbroek,,,76,,1,3,,80
Ranst,Ranst,Broechem,24,,,,,,9,33
Ranst,Ranst,Emblem,5,,,,,,19,24
Ranst,Ranst,Oelegem,44,,,,,,,44
Ranst,Ranst,Ranst,38,,,1,,,,39
Ravels,Ravels,Poppel,52,,,,,,,52
Ravels,Ravels,Ravels,58,,,,,,,58
Ravels,Ravels,Weelde,69,,,,,,3,72
Retie,Retie,Retie,2,,,,,,88,90
Rijkevorsel,Rijkevorsel,Rijkevorsel,2,,,,15,,101,118
Rumst,Rumst,Reet,,,24,,,,23,47
Rumst,Rumst,Rumst,,,50,,,,2,52
Rumst,Rumst,Terhagen,,,,,,,10,10
Schelle,Schelle,Schelle,,,4,,,,56,60
Schilde,Schilde,Schilde,69,,,1,,,,70
Schilde,Schilde,'s-Gravenwezel,35,,,,,,1,36
Schoten,Schoten,Schoten,20,,,6,1,,178,205
Sint-Amands,Sint-Amands,Lippelo,,,7,,,,,7
Sint-Amands,Sint-Amands,Oppuurs,,,11,,,3,,14
Sint-Amands,Sint-Amands,Sint-Amands,,,35,,,,,35
Sint-Katelijne-Waver,Sint-Katelijne-Waver,Onze-Lieve-Vrouw-Waver,,53,,,,,14,67
Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,,67,5,,,,102,174
Stabroek,Stabroek,Hoevenen,,,,,19,,,19
Stabroek,Stabroek,Stabroek,,,,,20,,12,32
Turnhout,Turnhout,Turnhout,52,,,,,,353,405
Vorselaar,Vorselaar,Vorselaar,1,,42,,,,,43
Vosselaar,Vosselaar,Vosselaar,,,,,,,59,59
Westerlo,Westerlo,Oevel,,,,,,,58,58
Westerlo,Westerlo,Tongerlo,,,5,,,,58,63
Westerlo,Westerlo,Westerlo,,,49,,,,54,103
Westerlo,Westerlo,Zoerle-Parwijs,,,3,,,,8,11
Wijnegem,Wijnegem,Wijnegem,6,,,73,,,15,94
Willebroek,Willebroek,Blaasveld,,,,,22,,,22
Willebroek,Willebroek,Heindonk,,,,,5,,,5
Willebroek,Willebroek,Tisselt,,,,,48,,,48
Willebroek,Willebroek,Willebroek,,,99,,46,,,145
Wommelgem,Wommelgem,Wommelgem,,,,116,,,16,132
Wuustwezel,Wuustwezel,Loenhout,,,,,10,,48,58
Wuustwezel,Wuustwezel,Wuustwezel,,,,,118,,,118
Zandhoven,Zandhoven,Massenhoven,,,21,,,,,21
Zandhoven,Zandhoven,Pulderbos,18,,,,,,,18
Zandhoven,Zandhoven,Pulle,3,,11,,,,,14
Zandhoven,Zandhoven,Viersel,,,4,,,,,4
Zandhoven,Zandhoven,Zandhoven,22,,18,,,,,40
Zoersel,Zoersel,Halle,34,,,,,,,34
Zoersel,Zoersel,Zoersel,78,,,,,,,78
Zwijndrecht,Zwijndrecht,Burcht,,,,,,,48,48
Zwijndrecht,Zwijndrecht,Zwijndrecht,,,,,,,72,72
Beauvechain,Beauvechain,Beauvechain,,18,,,,,1,19
Beauvechain,Beauvechain,Hamme-Mille,,22,,,,,,22
Beauvechain,Beauvechain,L'Ecluse,,5,,,,,,5
Beauvechain,Beauvechain,Nodebais,,12,,,,,,12
Beauvechain,Beauvechain,Tourinnes-la-Grosse,,12,,,,,,12
Braine-l'Alleud,Braine-l'Alleud,Braine-l'Alleud,211,,5,,,,1,217
Braine-l'Alleud,Braine-l'Alleud,Lillois-Witterzée,6,,,28,,,,34
Braine-l'Alleud,Braine-l'Alleud,Ophain-Bois-Seigneur-Isaac,26,,6,,,,,32
Braine-le-Château,Braine-le-Château,Braine-le-Château,,,51,,,,,51
Braine-le-Château,Braine-le-Château,Wauthier-Braine,1,,31,,,,,32
Chastre,Chastre,Chastre-Villeroux-Blanmont,,,25,,,1,,26
Chastre,Chastre,Cortil-Noirmont,,,12,,,,,12
Chastre,Chastre,Gentinnes,,,7,,,,,7
Chastre,Chastre,Saint-Géry,,,5,,,,,5
Chaumont-Gistoux,Chaumont-Gistoux,Bonlez,17,,,,,,,17
Chaumont-Gistoux,Chaumont-Gistoux,Chaumont-Gistoux,4,,,,,,45,49
Chaumont-Gistoux,Chaumont-Gistoux,Corroy-le-Grand,,,,,,6,21,27
Chaumont-Gistoux,Chaumont-Gistoux,Dion-Le-Mont,14,,,,,,19,33
Chaumont-Gistoux,Chaumont-Gistoux,Dion-Valmont,7,,,,,,,7
Chaumont-Gistoux,Chaumont-Gistoux,Longueville,4,,,,,,2,6
Court-Saint-Etienne,Court-Saint-Étienne,Court-Saint-Etienne,22,,,,,63,,85
Genappe,Genappe,Baisy-Thy,27,,,,,,,27
Genappe,Genappe,Bousval,31,,,,,,,31
Genappe,Genappe,Genappe,10,,,,,,,10
Genappe,Genappe,Glabais,10,,,,,,,10
Genappe,Genappe,Houtain-le-Val,12,,,1,,,,13
Genappe,Genappe,Loupoigne,12,,,,,,,12
Genappe,Genappe,Vieux-Genappe,16,,,,,,,16
Genappe,Genappe,Ways,14,,,,,,,14
Grez-Doiceau,Grez-Doiceau,Archennes,11,,,,,,7,18
Grez-Doiceau,Grez-Doiceau,Biez,13,,,,,,,13
Grez-Doiceau,Grez-Doiceau,Bossut-Gottechain,,,,,,,22,22
Grez-Doiceau,Grez-Doiceau,Grez-Doiceau,59,,,,,,8,67
Grez-Doiceau,Grez-Doiceau,Nethen,,,,,,,18,18
Hélécine,Hélécine,Linsmeau,,3,,,,,,3
Hélécine,Hélécine,Neerheylissem,,11,,,,,,11
Hélécine,Hélécine,Opheylissem,,9,,,,,,9
Incourt,Incourt,Glimes,,11,,,,,,11
Incourt,Incourt,Incourt,,6,,,,,,6
Incourt,Incourt,Opprebais,,11,,,,,3,14
Incourt,Incourt,Piétrebais,,9,,,,,,9
Incourt,Incourt,Roux-Miroir,,5,,,,,,5
Ittre,Ittre,Haut-Ittre,,,5,1,,,,6
Ittre,Ittre,Ittre,,,32,2,,,,34
Ittre,Ittre,Virginal-Samme,,,25,,,,,25
Jodoigne,Jodoigne,Dongelberg,,7,,,,,,7
Jodoigne,Jodoigne,Jauchelette,,7,,,,,,7
Jodoigne,Jodoigne,Jodoigne,,43,,,,,,43
Jodoigne,Jodoigne,Jodoigne-Souveraine,,8,,,,,,8
Jodoigne,Jodoigne,Lathuy,,8,,,,,,8
Jodoigne,Jodoigne,Mélin,,17,,,,,,17
Jodoigne,Jodoigne,Piétrain,,12,,,,,,12
Jodoigne,Jodoigne,Saint-Jean-Geest,,7,,,,,,7
Jodoigne,Jodoigne,Saint-Remy-Geest,,4,,,,,,4
Jodoigne,Jodoigne,Zétrud-Lumay,,6,,,,,,6
La Hulpe,La Hulpe,La Hulpe,34,,,,17,,,51
Lasne,Lasne,Couture-Saint-Germain,13,,,,,,,13
Lasne,Lasne,Lasne-Chapelle-Saint-Lambert,47,,,,,,,47
Lasne,Lasne,Maransart,10,,,,,,,10
Lasne,Lasne,Ohain,78,,,,,,,78
Lasne,Lasne,Plancenoit,18,,,,,,,18
Mont-Saint-Guibert,Mont-Saint-Guibert,Corbais,,,,,,16,2,18
Mont-Saint-Guibert,Mont-Saint-Guibert,Hevillers,,,1,,,19,,20
Mont-Saint-Guibert,Mont-Saint-Guibert,Mont-Saint-Guibert,1,,,,,19,6,26
Nivelles,Nivelles,Baulers,,,7,12,,,,19
Nivelles,Nivelles,Bornival,,,3,4,,,,7
Nivelles,Nivelles,Monstreux,,,,5,,,,5
Nivelles,Nivelles,Nivelles,,,115,89,,,,204
Nivelles,Nivelles,Thines,,,6,,,,,6
Orp-Jauche,Orp-Jauche,Enines,,6,,,,,,6
Orp-Jauche,Orp-Jauche,Folx-Les-Caves,,5,,,,,,5
Orp-Jauche,Orp-Jauche,Jandrain-Jandrenouille,,15,,,1,,,16
Orp-Jauche,Orp-Jauche,Jauche,,12,,,,,,12
Orp-Jauche,Orp-Jauche,Marilles,,8,,,,,,8
Orp-Jauche,Orp-Jauche,Noduwez,,12,,,,,,12
Orp-Jauche,Orp-Jauche,Orp-Le-Grand,,18,,,,,,18
Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,Céroux-Mousty,37,,,,,,,37
Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,La Baraque,1,,,,,,19,20
Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,Limelette,43,,,,,,,43
Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,Ottignies,79,,,,,,76,155
Perwez,Perwez,Malèves-Sainte-Marie-Wastines,,6,,,,,,6
Perwez,Perwez,Orbais,,9,,,,,,9
Perwez,Perwez,Perwez,,1,44,,,,,45
Perwez,Perwez,Thorembais-les-Béguines,,10,,,,,,10
Perwez,Perwez,Thorembais-Saint-Trond,,19,,,,,,19
Ramillies,Ramillies,Autre-Eglise,,10,,,,,,10
Ramillies,Ramillies,Bomal,,4,,,,,,4
Ramillies,Ramillies,Geest-Gérompont-Petit-Rosière,,13,,,,,,13
Ramillies,Ramillies,Grand-Rosière-Hottomont,,7,,,,,,7
Ramillies,Ramillies,Huppaye,,9,,,,,,9
Ramillies,Ramillies,Mont-Saint-André,,11,,,,,,11
Ramillies,Ramillies,Ramillies-Offus,,10,,,,,,10
Rebecq,Rebecq,Bierghes,,,18,,,,,18
Rebecq,Rebecq,Quenast,,,16,,,,,16
Rebecq,Rebecq,Rebecq-Rognon,,,40,,,,,40
Rebecq,Rebecq,Wisbecq,,,7,,,,,7
Rixensart,Rixensart,Genval,30,,,,26,,,56
Rixensart,Rixensart,Rixensart,12,,,,62,,,74
Rixensart,Rixensart,Rosières,,,,,17,,,17
Tubize,Tubize,Clabecq,,,25,,,,2,27
Tubize,Tubize,Oisquercq,,,19,,,,1,20
Tubize,Tubize,Saintes,,,24,,,,,24
Tubize,Tubize,Tubize,,,93,,,,,93
Villers-la-Ville,Villers-la-Ville,Marbais,,,,19,,,,19
Villers-la-Ville,Villers-la-Ville,Mellery,,,,4,,1,,5
Villers-la-Ville,Villers-la-Ville,Sart-Dames-Avelines,,,,20,,,,20
Villers-la-Ville,Villers-la-Ville,Tilly,,,,15,,,,15
Villers-la-Ville,Villers-la-Ville,Villers-la-Ville,,,,15,,,,15
Walhain,Walhain,Nil-Saint-Vincent-Saint-Martin,,,,,,16,,16
Walhain,Walhain,Tourinnes-Saint-Lambert,,,,,,17,,17
Walhain,Walhain,Walhain-Saint-Paul,,,,,,22,,22
Waterloo,Waterloo,Waterloo,235,,,,,,,235
Wavre,Wavre,Bierges,84,,,,3,,,87
Wavre,Wavre,Limal,93,,,,,,2,95
Wavre,Wavre,Wavre,206,,,,,,1,207
Anderlecht,Anderlecht,Anderlecht,,,,,,,309,309
Anderlecht,Anderlecht,Kanaal-Spoor Oost / Canal-Voie Est,,,,,,,223,223
Anderlecht,Anderlecht,Ring West / Ring Ouest,,,,,,,77,77
Brussel / Bruxelles,Bruxelles,Pentagoon / Pentagone,,,,,,,736,736
Brussel / Bruxelles,Bruxelles,Antwerpse Steenweg / Chausséed'Anvers,,,,,,,134,134
Brussel / Bruxelles,Bruxelles,Louisa / Louise,,,,,,,167,167
Brussel / Bruxelles,Bruxelles,Wetstraat / Rue de la Loi,,,,,,,365,365
Brussel / Bruxelles,Bruxelles,Haren,,,,,,,107,107
Brussel / Bruxelles,Bruxelles,Laken,,,,,,,193,193
Brussel / Bruxelles,Bruxelles,Neder-over-Heembeek,,,,,,,119,119
Elsene /Ixelles,Ixelles,Elsene / Ixelles,,,,,,,389,389
Etterbeek,Etterbeek,Etterbeek,,,,,,,207,207
Evere,Evere,Evere,,,,,,,219,219
Ganshoren,Ganshoren,Ganshoren,,,,,,,82,82
Jette,Jette,Jette,,,,,,,149,149
Koekelberg,Koekelberg,Koekelberg,,,,,,,80,80
Oudergem / Auderghem,Auderghem,Oudergem / Auderghem,,,,,1,,199,200
Schaarbeek / Schaerbeek,Schaerbeek,Schaarbeek / Schaerbeek,,,,,,,348,348
Sint-Agatha-Berchem / Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,Sint-Agatha-Berchem / Berchem-Sainte-Agathe,,,,,,,120,120
Sint-Gillis / Saint-Gilles,Saint-Gilles,Sint-Gillis / Saint-Gilles,,,,,,,187,187
Sint-Jans-Molenbeek / Molenbeek-Saint-Jean,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek / Molenbeek-Saint-Jean,,,,,,,331,331
Sint-Joost-ten-Node / Saint-Josse-Ten-Noode,Saint-Josse-ten-Noode,Sint-Joost-ten-Node / Saint-Josse-Ten-Noode,,,,,,,126,126
Sint-Lambrechts-Woluwe / Woluwé-Saint-Lambert,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe / Woluwé-Saint-Lambert,,,,,,,302,302
Sint-Pieters-Woluwe / Woluwé-Saint-Pierre,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe / Woluwé-Saint-Pierre,,,,,,,229,229
Ukkel / Uccle,Uccle,Ukkel / Uccle,,,,,55,,445,500
Vorst / Forest,Forest,Vorst / Forest,,,,,,,263,263
Watermaal-Bosvoorde / Watermael-Boitsfort,Watermael-Boitsfort,Watermaal-Bosvoorde / Watermael-Boitsfort,,,,,,,125,125
Aiseau-Presles,Aiseau-Presles,Aiseau,,,,20,,,1,21
Aiseau-Presles,Aiseau-Presles,Pont-de-Loup,,,,19,,,,19
Aiseau-Presles,Aiseau-Presles,Presles,,,,14,,,,14
Aiseau-Presles,Aiseau-Presles,Roselies,,,,13,,,,13
Anderlues,Anderlues,Anderlues,,4,,,,79,,83
Antoing,Antoing,Antoing,21,,,,,,,21
Antoing,Antoing,Bruyelle,5,,,,,,,5
Antoing,Antoing,Calonne,6,,,,,,,6
Antoing,Antoing,Fontenoy,4,,,,,,,4
Antoing,Antoing,Maubray,5,,,,,,,5
Antoing,Antoing,Péronnes-lez-Antoing,12,,,,,,,12
Ath,Ath,Arbre,,,,,5,,,5
Ath,Ath,Ath,82,,,,6,,,88
Ath,Ath,Bouvignies,6,,,,,,,6
Ath,Ath,Ghislenghien,,,14,,,,,14
Ath,Ath,Gibecq,,,4,,3,,,7
Ath,Ath,Houtaing,3,,,,,,,3
Ath,Ath,Irchonwelz,8,,,,,,1,9
Ath,Ath,Isières,3,,5,,,,,8
Ath,Ath,Lanquesaint,3,,,,,,,3
Ath,Ath,Ligne,7,,,,,,,7
Ath,Ath,Maffle,1,,,,8,,,9
Ath,Ath,Mainvault,13,,,,,,,13
Ath,Ath,Meslin-l'Evêque,2,,19,,,,,21
Ath,Ath,Moulbaix,,,,,3,,,3
Ath,Ath,Ormeignies,,,,,11,,,11
Ath,Ath,Ostiches,9,,,,,,,9
Ath,Ath,Rebaix,4,,3,,,,,7
Ath,Ath,Villers-Notre-Dame,3,,,,,,,3
Ath,Ath,Villers-Saint-Amand,6,,,,,,,6
Beaumont,Beaumont,Barbençon,,,14,,,,,14
Beaumont,Beaumont,Beaumont,,,27,,,,,27
Beaumont,Beaumont,Leugnies,,,8,,,,,8
Beaumont,Beaumont,Leval-Chaudeville,,,10,,,,,10
Beaumont,Beaumont,Renlies,,,11,,,,,11
Beaumont,Beaumont,Solre-Saint-Géry,,,19,,,,,19
Beaumont,Beaumont,Strée,,,25,,,,,25
Beaumont,Beaumont,Thirimont,,1,14,,,,,15
Beloeil,Belœil,Aubechies,,,,,1,,,1
Beloeil,Belœil,Basècles,,,,,20,,,20
Beloeil,Belœil,Beloeil,,,,,16,,,16
Beloeil,Belœil,Ellignies-Sainte-Anne,,,,,12,,,12
Beloeil,Belœil,Quevaucamps,,,,,18,,,18
Beloeil,Belœil,Ramegnies,,,,,1,,,1
Beloeil,Belœil,Stambruges,,,,,14,,,14
Beloeil,Belœil,Thumaide,,,,,5,,,5
Beloeil,Belœil,Wadelincourt,,,,,3,,,3
Bernissart,Bernissart,Bernissart,,,,,23,,,23
Bernissart,Bernissart,Blaton,,,,,34,,,34
Bernissart,Bernissart,Pommeroeul,,,,,20,,,20
Binche,Binche,Binche,,45,,,,,,45
Binche,Binche,Bray,,19,,,,,,19
Binche,Binche,Buvrinnes,,31,,,,,,31
Binche,Binche,Epinois,,13,,,,,,13
Binche,Binche,Leval-Trahegnies,,19,,,,,13,32
Binche,Binche,Péronnes-lez-Binche,,22,,,,,4,26
Binche,Binche,Ressaix,,26,,,,,,26
Binche,Binche,Waudrez,,24,,,,,,24
Boussu,Boussu,Boussu,,,,,49,,7,56
Boussu,Boussu,Hornu,,,,,25,,24,49
Braine-le-Comte,Braine-le-Comte,Braine-le-Comte,,,105,,,,,105
Braine-le-Comte,Braine-le-Comte,Hennuyères,,,29,,,,,29
Braine-le-Comte,Braine-le-Comte,Henripont,,,3,,,,,3
Braine-le-Comte,Braine-le-Comte,Petit-Roeulx-lez-Braine,,,9,,,,,9
Braine-le-Comte,Braine-le-Comte,Ronquières,,,17,,,,,17
Braine-le-Comte,Braine-le-Comte,Steenkerque,,,16,,,,,16
Brugelette,Brugelette,Attre,,,,,7,,,7
Brugelette,Brugelette,Brugelette,,,,,13,,,13
Brugelette,Brugelette,Cambron-Casteau,,,,,4,,,4
Brugelette,Brugelette,Gages,,,,,2,,,2
Brugelette,Brugelette,Mévergnies-lez-Lens,,,,,4,,,4
Brunehaut,Brunehaut,Bléharies,9,,,,,,,9
Brunehaut,Brunehaut,Guignies,4,,,,,,,4
Brunehaut,Brunehaut,Hollain,12,,,,,,,12
Brunehaut,Brunehaut,Howardries,1,,,,,,,1
Brunehaut,Brunehaut,Jollain-Merlin,4,,,,,,,4
Brunehaut,Brunehaut,Laplaigne,7,,,,,,,7
Brunehaut,Brunehaut,Lesdain,2,,,,,,,2
Brunehaut,Brunehaut,Rongy,7,,,,,,,7
Brunehaut,Brunehaut,Wez-Velvain,7,,,,,,,7
Celles,Celles,Celles,,,,,,,21,21
Celles,Celles,Escanaffles,,,,,,,24,24
Celles,Celles,Molenbaix,,,,,,,12,12
Celles,Celles,Popuelles,5,,,,,,,5
Celles,Celles,Pottes,,,,,,,20,20
Celles,Celles,Velaines,3,,,,,,15,18
Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont,,44,,4,,,,48
Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont,Godarville,,,,13,,,,13
Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont,Piéton,,12,,,,3,,15
Charleroi,Charleroi,Charleroi,,,,,,28,99,127
Charleroi,Charleroi,Couillet,,,,,,,51,51
Charleroi,Charleroi,Dampremy,,,,,,3,21,24
Charleroi,Charleroi,Gilly,,,,5,,66,13,84
Charleroi,Charleroi,Gosselies,,,,1,,82,,83
Charleroi,Charleroi,Goutroux,,,,,,,11,11
Charleroi,Charleroi,Jumet,,,,,,78,,78
Charleroi,Charleroi,Lodelinsart,,,,,,33,4,37
Charleroi,Charleroi,Marchienne-au-Pont,,,,,,15,43,58
Charleroi,Charleroi,Marcinelle,,,,,,,108,108
Charleroi,Charleroi,Monceau-sur-Sambre,,,,,,1,38,39
Charleroi,Charleroi,Montignies-sur-Sambre,,,,,,1,68,69
Charleroi,Charleroi,Mont-sur-Marchienne,,,,,,,54,54
Charleroi,Charleroi,Ransart,,,,,,36,,36
Charleroi,Charleroi,Roux,,,,,,38,2,40
Châtelet,Châtelet,Bouffioulx,,,,16,,,16,32
Châtelet,Châtelet,Châtelet,,,,57,,,2,59
Châtelet,Châtelet,Châtelineau,,,,58,,1,11,70
Chièvres,Chièvres,Chièvres,,,,,26,,,26
Chièvres,Chièvres,Grosage,,,,,3,,,3
Chièvres,Chièvres,Huissignies,,,,,7,,,7
Chièvres,Chièvres,Ladeuze,,,,,13,,,13
Chièvres,Chièvres,Tongre-Notre-Dame,,,,,8,,,8
Chièvres,Chièvres,Tongre-Saint-Martin,,,,,1,,,1
Chimay,Chimay,Baileux,,,,,,,,0
Chimay,Chimay,Bailièvre,,,,,,,,0
Chimay,Chimay,Bourlers,,,,,,,,0
Chimay,Chimay,Chimay,,,,,,,,0
Chimay,Chimay,Forges,,,,,,,,0
Chimay,Chimay,l'Escaillère,,,,,,,,0
Chimay,Chimay,Lompret,,,,,,,,0
Chimay,Chimay,Riezes,,,,,,,,0
Chimay,Chimay,Robechies,,,,,,,,0
Chimay,Chimay,Saint-Remy,,,,,,,,0
Chimay,Chimay,Salles,,,,,,,,0
Chimay,Chimay,Vaulx,,,,,,,,0
Chimay,Chimay,Villers-la-Tour,,,,,,,,0
Chimay,Chimay,Virelles,,,,,,,,0
Colfontaine,Colfontaine,Pâturages,,,,,26,,,26
Colfontaine,Colfontaine,Warquignies,,,,,3,,,3
Colfontaine,Colfontaine,Wasmes,,,,,47,,3,50
Comines-Warneton,Comines-Warneton,Bas-Warneton,,,,,,,15,15
Comines-Warneton,Comines-Warneton,Comines,,,,,,,93,93
Comines-Warneton,Comines-Warneton,Houthem,,,,,,,9,9
Comines-Warneton,Comines-Warneton,Ploegsteert,,,,,,,51,51
Comines-Warneton,Comines-Warneton,Warneton,,,,,,,40,40
Courcelles,Courcelles,Courcelles,,,,57,,21,,78
Courcelles,Courcelles,Gouy-lez-Piéton,,,2,38,,,,40
Courcelles,Courcelles,Souvret,,,,18,,1,,19
Courcelles,Courcelles,Trazegnies,,,,33,,,,33
Dour,Dour,Blaugies,,,,,15,,,15
Dour,Dour,Dour,,,,,55,,,55
Dour,Dour,Elouges,,,,,22,,,22
Dour,Dour,Wihéries,,,,,11,,,11
Ecaussinnes,Écaussinnes,Ecaussinnes-d'Enghien,,,54,,,,,54
Ecaussinnes,Écaussinnes,Ecaussinnes-Lalaing,,,11,,,,,11
Ecaussinnes,Écaussinnes,Marche-lez-Ecaussinnes,,,16,,,,3,19
Ellezelles,Ellezelles,Ellezelles,,,,,,,54,54
Ellezelles,Ellezelles,Lahamaide,9,,,,,,,9
Ellezelles,Ellezelles,Wodecq,3,,12,,,,,15
Enghien,Enghien,Enghien,,,18,,,,,18
Enghien,Enghien,Marcq,,,32,,,,,32
Enghien,Enghien,Petit-Enghien,,,56,,,,,56
Erquelinnes,Erquelinnes,Bersillies-l'Abbaye,,7,,,,,,7
Erquelinnes,Erquelinnes,Erquelinnes,,22,,,,,,22
Erquelinnes,Erquelinnes,Grand-Reng,,15,,,,,,15
Erquelinnes,Erquelinnes,Hantes-Wihéries,,6,,,,,,6
Erquelinnes,Erquelinnes,Montignies-Saint-Christophe,,8,,,,,,8
Erquelinnes,Erquelinnes,Solre-Sur-Sambre,,28,,,,,,28
Estaimpuis,Estaimpuis,Bailleul,18,,,,,,,18
Estaimpuis,Estaimpuis,Estaimbourg,30,,,,,,,30
Estaimpuis,Estaimpuis,Estaimpuis,46,,,,,,,46
Estaimpuis,Estaimpuis,Evregnies,28,,,,,,,28
Estaimpuis,Estaimpuis,Leers-Nord,24,,,,,,,24
Estaimpuis,Estaimpuis,Néchin,42,,,,,,,42
Estaimpuis,Estaimpuis,Saint-Léger,41,,,,,,,41
Estinnes,Estinnes,Croix-lez-Rouveroy,,6,,,,,,6
Estinnes,Estinnes,Estinnes-au-Mont,,17,,,,,,17
Estinnes,Estinnes,Estinnes-au-Val,,9,,,,,,9
Estinnes,Estinnes,Fauroeulx,,7,,,,,,7
Estinnes,Estinnes,Haulchin,,11,,,,,,11
Estinnes,Estinnes,Peissant,,14,,,,,,14
Estinnes,Estinnes,Rouveroy,,13,,,,,,13
Estinnes,Estinnes,Vellereille-les-Brayeux,,14,,,,,,14
Estinnes,Estinnes,Vellereille-le-Sec,,6,,,,,,6
Farciennes,Farciennes,Farciennes,,,,42,,,2,44
Farciennes,Farciennes,Pironchamps,,,,7,,,,7
Fleurus,Fleurus,Brye,,,,5,,,,5
Fleurus,Fleurus,Fleurus,,,,1,,1,54,56
Fleurus,Fleurus,Heppignies,,,,,,,19,19
Fleurus,Fleurus,Lambusart,,,,,,,16,16
Fleurus,Fleurus,Saint-Amand,,,,16,,,,16
Fleurus,Fleurus,Wagnelée,,,,7,,,,7
Fleurus,Fleurus,Wanfercée-Baulet,,,,,,,30,30
Fleurus,Fleurus,Wangenies,,,,,,,9,9
Flobecq,Flobecq,Flobecq,,,40,,,,,40
Fontaine-l'Evêque,Fontaine-l'Évêque,Fontaine-l'Evêque,,,,,,52,2,54
Fontaine-l'Evêque,Fontaine-l'Évêque,Forchies-la-Marche,,,,1,,32,,33
Fontaine-l'Evêque,Fontaine-l'Évêque,Leernes,,,,,,29,3,32
Frameries,Frameries,Eugies,,,,,13,,,13
Frameries,Frameries,Frameries,,30,,,22,,,52
Frameries,Frameries,La Bouverie,,,,,27,,,27
Frameries,Frameries,Noirchain,,3,,,,,,3
Frameries,Frameries,Sars-la-Bruyère,,,,,8,,,8
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Anvaing,,,,,,,19,19
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Arc-Ainières,,,,,,,15,15
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Buissenal,8,,,,,,,8
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Cordes,4,,,,,,1,5
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Dergneau,,,,,,,11,11
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Forest,9,,,,,,,9
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Frasnes-lez-Buissenal,41,,,,,,,41
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Hacquegnies,7,,,,,,,7
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Herquegies,3,,,,,,,3
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Montroeul-au-Bois,7,,,,,,,7
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Moustier,7,,,,,,,7
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Oeudeghien,10,,,,,,,10
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Saint-Sauveur,,,,,,,27,27
Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,Wattripont,,,,,,,3,3
Froidchapelle,Froidchapelle,Boussu-lez-Walcourt,,,17,,,,2,19
Froidchapelle,Froidchapelle,Erpion,,,7,,,,,7
Froidchapelle,Froidchapelle,Froidchapelle,,,44,,,,1,45
Froidchapelle,Froidchapelle,Vergnies,,,7,,,,,7
Gerpinnes,Gerpinnes,Acoz,,,20,,,,,20
Gerpinnes,Gerpinnes,Gerpinnes,,,58,,,,2,60
Gerpinnes,Gerpinnes,Gougnies,,,11,,,,,11
Gerpinnes,Gerpinnes,Joncret,,,11,,,,,11
Gerpinnes,Gerpinnes,Loverval,,,,,,,17,17
Gerpinnes,Gerpinnes,Villers-Poterie,,,7,,,,,7
Ham-sur-Heure-Nalinnes,Ham-sur-Heure-Nalinnes,Cour-sur-Heure,,,,,,8,,8
Ham-sur-Heure-Nalinnes,Ham-sur-Heure-Nalinnes,Ham-sur-Heure,,,,,,31,8,39
Ham-sur-Heure-Nalinnes,Ham-sur-Heure-Nalinnes,Jamioulx,,,,,,,15,15
Ham-sur-Heure-Nalinnes,Ham-sur-Heure-Nalinnes,Marbaix,,,,,,6,2,8
Ham-sur-Heure-Nalinnes,Ham-sur-Heure-Nalinnes,Nalinnes,,,,,,21,40,61
Hensies,Hensies,Hainin,,,,,4,,,4
Hensies,Hensies,Hensies,,,,,15,,,15
Hensies,Hensies,Montroeul-sur-Haine,,,,,7,,,7
